Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Output
25,Female,Single,Student,No Income,Ph.D,3,12.9048,77.6821,560036,Yes
20,Male,Single,Student,No Income,Graduate,2,12.9261,77.6221,560034,Yes
29,Male,Married,Employee,25001 to 50000,Graduate,4,12.9261,77.6221,560034,No
23,Female,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Yes
25,Male,Single,Self Employeed,More than 50000,Graduate,2,12.9783,77.6408,560038,Yes
29,Female,Married,Employee,25001 to 50000,Graduate,4,12.9783,77.6408,560038,No
27,Male,Married,Self Employeed,25001 to 50000,Graduate,6,12.9217,77.5936,560041,No
25,Male,Single,Self Employeed,10001 to 25000,Graduate,3,13.0206,77.6479,560043,Yes
21,Male,Single,Student,No Income,Graduate,2,13.0012,77.5995,560046,No
23,Male,Single,Student,No Income,Graduate,3,13.0223,77.7132,560049,Yes
24,Female,Single,Employee,10001 to 25000,Post Graduate,4,12.9337,77.59,560011,Yes
22,Male,Married,Self Employeed,10001 to 25000,School,3,12.982,77.6256,560008,Yes
28,Male,Married,Employee,25001 to 50000,Post Graduate,5,13.0262,77.62,560045,Yes
26,Male,Single,Employee,10001 to 25000,Graduate,2,12.9217,77.5936,560041,No
22,Female,Single,Employee,25001 to 50000,Graduate,4,12.8845,77.6036,560076,Yes
26,Male,Married,Employee,More than 50000,Graduate,4,12.9048,77.6821,560036,Yes
25,Female,Single,Student,No Income,Ph.D,3,12.9048,77.6821,560036,Yes
20,Male,Single,Student,No Income,Graduate,2,12.9261,77.6221,560034,Yes
29,Male,Married,Employee,25001 to 50000,Graduate,4,12.9261,77.6221,560034,No
23,Female,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Yes
25,Male,Single,Self Employeed,More than 50000,Graduate,2,12.9783,77.6408,560038,Yes
29,Female,Married,Employee,25001 to 50000,Graduate,4,12.9783,77.6408,560038,No
27,Male,Married,Self Employeed,25001 to 50000,Graduate,6,12.9217,77.5936,560041,No
25,Male,Single,Self Employeed,10001 to 25000,Graduate,3,13.0206,77.6479,560043,Yes
21,Male,Single,Student,No Income,Graduate,2,13.0012,77.5995,560046,No
24,Male,Single,Student,No Income,Post Graduate,2,12.9706,77.6529,560075,Yes
26,Female,Married,Self Employeed,10001 to 25000,Graduate,5,12.9706,77.6529,560075,No
32,Male,Married,Employee,25001 to 50000,Graduate,3,12.9706,77.6529,560075,Yes
29,Male,Single,Self Employeed,More than 50000,Graduate,6,12.8845,77.6036,560076,Yes
21,Male,Single,Student,No Income,Graduate,5,12.9783,77.6408,560038,Yes
24,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,13.0103,77.5796,560080,No
26,Male,Prefer not to say,Self Employeed,More than 50000,Post Graduate,2,13.0103,77.5796,560080,Yes
31,Male,Married,Employee,More than 50000,Ph.D,3,12.9306,77.5434,560085,Yes
29,Male,Single,Employee,25001 to 50000,Graduate,3,13.0641,77.5931,560092,No
22,Male,Single,Student,No Income,Graduate,3,13.0158,77.539,560096,Yes
24,Male,Single,Student,No Income,Graduate,2,12.9561,77.5921,560027,Yes
27,Male,Married,Employee,25001 to 50000,Graduate,2,12.8845,77.6036,560076,Yes
23,Female,Single,Student,No Income,Post Graduate,3,12.9369,77.6407,560095,No
30,Male,Married,Employee,More than 50000,Post Graduate,6,12.9369,77.6407,560095,Yes
22,Female,Single,Student,No Income,Graduate,2,12.9369,77.6407,560095,Yes
28,Male,Married,Employee,25001 to 50000,Graduate,3,12.9369,77.6407,560095,Yes
23,Female,Single,Student,No Income,Post Graduate,2,13.0158,77.539,560096,Yes
30,Male,Married,Self Employeed,More than 50000,Graduate,1,13.0809,77.5565,560097,No
21,Male,Single,Student,No Income,Graduate,3,13.0641,77.5931,560092,Yes
26,Female,Married,Employee,Below Rs.10000,Graduate,6,12.9859,77.6713,560093,No
25,Male,Single,Self Employeed,More than 50000,School,3,12.9859,77.6713,560093,Yes
31,Male,Prefer not to say,Employee,Below Rs.10000,Graduate,1,12.9866,77.4904,560091,No
23,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9847,77.5491,560100,Yes
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,12.985,77.5533,560010,Yes
27,Female,Married,Employee,More than 50000,Post Graduate,2,12.9299,77.6848,560103,Yes
22,Male,Single,Student,No Income,Graduate,3,12.977,77.5773,560009,Yes
24,Female,Single,Student,No Income,Post Graduate,3,12.9828,77.6131,560042,Yes
23,Female,Single,Student,No Income,Post Graduate,2,12.9766,77.5993,560001,Yes
23,Female,Single,Student,No Income,Post Graduate,4,12.9854,77.7081,560048,Yes
22,Female,Single,Student,No Income,Post Graduate,5,12.985,77.5533,560010,Yes
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.977,77.5773,560009,Yes
23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,Yes
